start_time,end_time
0.0,0.4583333333333333
1.5,1.9166666666666667
3.8333333333333335,4.25
7.125,7.208333333333333
8.625,8.75
13.958333333333334,14.375
19.125,19.375
21.083333333333332,21.75
23.25,26.5
27.291666666666668,27.375
27.5,28.041666666666668
32.875,33.041666666666664
36.583333333333336,38.541666666666664
40.708333333333336,40.833333333333336
42.75,46.125
46.791666666666664,49.0
49.416666666666664,51.958333333333336
52.791666666666664,53.958333333333336
56.25,56.583333333333336
57.166666666666664,57.166666666666664
57.708333333333336,59.666666666666664
60.708333333333336,61.125
70.875,71.79166666666667
76.5,79.41666666666667
79.625,79.79166666666667
80.08333333333333,80.125
81.16666666666667,81.29166666666667
83.16666666666667,83.16666666666667
85.33333333333333,85.375
85.66666666666667,85.75
89.16666666666667,89.875
