start_time,end_time,sound_event,audio_id
0.5340589569160997,1.4396371882086167,People_Speaking,input.wav
1.9969160997732427,3.7848526077097504,People_Speaking,input.wav
4.295691609977324,7.082086167800454,People_Speaking,input.wav
7.291065759637188,7.383945578231293,People_Speaking,input.wav
7.453605442176871,8.568163265306122,People_Speaking,input.wav
8.823582766439909,13.839092970521541,People_Speaking,input.wav
13.885532879818594,13.908752834467121,People_Speaking,input.wav
14.419591836734694,19.06358276643991,People_Speaking,input.wav
19.458321995464853,21.037278911564627,People_Speaking,input.wav
21.803537414965987,23.173514739229024,People_Speaking,input.wav
26.563628117913833,27.213786848072562,People_Speaking,input.wav
27.422766439909296,27.445986394557824,People_Speaking,input.wav
28.11936507936508,28.583764172335602,People_Speaking,input.wav
28.69986394557823,29.698321995464852,People_Speaking,input.wav
29.744761904761905,32.833015873015874,People_Speaking,input.wav
33.08843537414966,36.52498866213152,People_Speaking,input.wav
38.59156462585034,40.63492063492063,People_Speaking,input.wav
40.91356009070295,42.67827664399093,People_Speaking,input.wav
46.18448979591837,46.74176870748299,People_Speaking,input.wav
49.0637641723356,49.20308390022676,People_Speaking,input.wav
49.27274376417233,49.36562358276644,People_Speaking,input.wav
52.01269841269841,52.70929705215419,People_Speaking,input.wav
54.03283446712018,56.19229024943311,People_Speaking,input.wav
56.65668934240363,57.12108843537415,People_Speaking,input.wav
57.23718820861678,57.655147392290246,People_Speaking,input.wav
59.72172335600907,60.62730158730159,People_Speaking,input.wav
61.18458049886621,70.79764172335601,People_Speaking,input.wav
71.84253968253968,76.41687074829932,People_Speaking,input.wav
79.48190476190476,79.55156462585035,People_Speaking,input.wav
79.85342403628118,80.01596371882086,People_Speaking,input.wav
80.20172335600907,80.29460317460317,People_Speaking,input.wav
80.4107029478458,81.10730158730159,People_Speaking,input.wav
81.36272108843538,83.10421768707484,People_Speaking,input.wav
83.22031746031746,85.26367346938775,People_Speaking,input.wav
85.42621315192744,85.61197278911564,People_Speaking,input.wav
85.79773242630385,89.11818594104308,People_Speaking,input.wav
